case_name,verifier_score
Sweat it Out,0.8865513205528259
Mystery of the Missing Heart,0.8940215706825256
Stealing Second Base,0.9727306365966797
Murder in the Old House,0.9325913786888123
The Chess Mystery,0.9731652736663818
Lost (Stolen) and Found,0.9488038420677185
The Chocolate Cupcake Caper,0.914901852607727
Dead Man's Island,0.9578824043273926
Who Stole the Rock of Ages,0.919692873954773
All Washed Up,0.9632667899131775
The Hidden Messenger,0.9520931243896484
The Disappearing Dollhouse ,0.9208734035491943
"A Bear, a Dog, and a Mystery",0.9551019668579102
The Mystery of the Talented Cat,0.9326404333114624
The Haunted Portrait,0.9704340696334839
The Classic Automobile Mystery,0.8760358095169067
Rocks and Feathers,0.932327151298523
Who is Telling the Truth?,0.8938790559768677
Ask Martha - The Identity Thief,0.9248515367507935
Ask Martha - The Pickpocket,0.9675984978675842
Diamond Deception,0.8924906253814697
Where is Matthew?,0.8933051824569702
The Mysterious Gift,0.9233583211898804
Perry Mason and the High School Crush Murder,0.9609000086784363
Who Stole Super Tuesday,0.943943202495575
The Missing Son,0.9046537280082703
Who Let the Frogs Out,0.9690470099449158
Uncle Buck Field Trip,0.8638561964035034
Mystery of the White Hats,0.9444276094436646
The Missing Popcorn,0.8868477940559387
Mystery on the Moor,0.9645882248878479
WHO STOLE CURIOUS GEORGE,0.9565564393997192
The Saxophone's Ghost ,0.950616717338562
Who Shot Mom?,0.9584165811538696
FInding the Flower Fund,0.9313597083091736
Map of the Traitor,0.9588717222213745
The Crusader's Robe,0.9209830164909363
Mr. Patrick’s History Class,0.9663429856300354
Bigfoot Mystery,0.9671888947486877
Missing Movie Money,0.943867027759552
Missing Ammunition,0.9465383291244507
The Sky Sleuths ,0.784987211227417
Battle of the Bulge,0.9685931205749512
The Missing Button,0.9593326449394226
The Railroad Mystery,0.899178147315979
The Date,0.9269449710845947
B-Movie Murder,0.949324905872345
The Jackie Mitchell Autographed Baseball Mystery,0.9581504464149475
The Easter Egg Mystery,0.8898625373840332
Easter Rhyme,0.9583733081817627
The April Fool ,0.917565643787384
Green Feet,0.9337241649627686
Restaurant Roulette ,0.9220750331878662
Violating the Pirate Code,0.9457583427429199
Space Station Sagittarius Six Suffers Sabotage,0.9658976793289185
Flying Saucer of New Mexico,0.942895770072937
Great Musket Mystery,0.9564669132232666
True Green: A St. Patrick's Day Mystery,0.9736627340316772
St. Patrick's Day Pearls,0.9404985904693604
Death in the Theatre,0.9504219889640808
Death at Andersonville,0.9554393291473389
The Big Game ,0.9408510327339172
The Liberty Gun,0.9072649478912354
Summer Camp,0.910882830619812
Mystery at Lyndley's Fort,0.9563907980918884
Riddle of the Confederate Spy,0.9434854984283447
Thin Ice,0.9634907245635986
Flouted,0.9624836444854736
Car Trouble,0.9535743594169617
Mr. Poe's Birthday Party,0.8919766545295715
The Root of All Evil,0.9212510585784912
Get the Lead Out,0.9680446982383728
POPPING A WHEELIE,0.928593099117279
The Mystery of the Leprechaun's Trophy ,0.9418492913246155
The Mysterious Chicken,0.8228501677513123
The Late Night Horror Show,0.8835507035255432
Making Partner,0.9637749791145325
No Retreat From Death,0.9144197702407837
A Monster of a Mystery,0.9119822382926941
"Chow, Baby!",0.9149454832077026
The Mystery of the Frowning Clown,0.9397515058517456
The Strangest Sport of All,0.869848906993866
Who Stole Storimon's Wallet,0.9303174018859863
MILES ARCHER SOLVES A CASE,0.9409233331680298
Murder in the Early Morning,0.9340428709983826
Raiding Cane,0.9363346695899963
The Missing Dagger,0.8936070799827576
Mystery of the Bratty Kid,0.9695499539375305
The Card Shark,0.93763667345047
Department Store Murder,0.9028784036636353
The Candy Store Mystery,0.8993925452232361
For the Birds ,0.9306060075759888
The Zoo Job,0.9159151911735535
Did The Vicar Solve The Mystery?,0.9509600400924683
Who Scratched the Porsche?,0.9236562252044678
The Thief in the Night Mystery,0.9351761937141418
Ladies at Table,0.9107390642166138
The Diamond Necklace,0.9236136078834534
Rhyming President's Mystery,0.9711093902587891
The White House Ghosts,0.9371055364608765
Mr. Patrick and the Graveyard Mystery,0.8494817018508911
Lockbox 100,0.9454902410507202
MYSTERY AT THE DETECTIVE’S OFFICE,0.9324054718017578
The Secret in the Old Trunk,0.9103338122367859
The Restless Ghost ,0.9487833380699158
The Secret Friend,0.9062092900276184
The Cross Homestead Mystery,0.8950666785240173
Is it a Wonderful Life?,0.9609171748161316
Lestrade Solves a Case,0.9536445140838623
Whole Stole the New Year’s Kiss ,0.8983979821205139
The New year's Eve Mystery,0.9344295859336853
The Twelfth Night Mystery,0.9219378232955933
Sugar Land’s Candy Crook,0.928691565990448
What The Dickens! - A Christmas Eve Mystery,0.9411771297454834
The Secret Santa Mystery,0.9532027244567871
The Silly Santa Mystery,0.8995994925498962
Sky Jack,0.9588927030563354
Dr. Watson and the Thwarted Engagement,0.9318421483039856
Shoot-out at Splithead Canyon,0.9477689266204834
The Mystery of the American Raid,0.9717783331871033
The Missing Ornament Mystery,0.8905941843986511
The Pilgrim Thanksgiving Puzzle,0.9335017204284668
The Disappearing Turkey,0.928730309009552
A Thanksgiving Mystery Poem,0.9568828344345093
Turkey Cull,0.9602048397064209
A Turkey-Day Struggle,0.9271349906921387
The Missing Briefcase,0.9285348057746887
Everything’s Not Just Ducky,0.9686296582221985
A Darkened Veterans Day,0.9559988379478455
The Missing Ring,0.9588701128959656
Brass Keyboard Mystery,0.9123108386993408
The Curse of the Unlucky Streak,0.908080518245697
Halloween 2008,0.9645773768424988
The Trick or Treat Mystery,0.9140127301216125
House of the Rising Pumpkin ,0.912420928478241
The Secret of the Scarecrow's Mask,0.9681804776191711
The Scarecrow Slasher,0.9768152236938477
The Golden Ruse,0.9444364309310913
Hound of the Buskerville,0.9453933835029602
MORIARTY PICKS A MURDERER (PART TWO),0.9674209952354431
The Scent of a Thief,0.9277782440185547
MORIARTY PICKS A MURDERER (PART ONE),0.9554603099822998
The Geneva Summit Goldfish Mystery,0.9177071452140808
A Straw-Stuffed Mystery,0.945941150188446
Ask Martha - The Shoplifter,0.4723827540874481
The Hanging Figure,0.9353808760643005
Our Quarterback is Missing,0.9469796419143677
Ask Martha - The Case of the Missing Canary,0.9590838551521301
Register Robbery,0.9163792729377747
Mr. Patrick Back in Class,0.8912097215652466
ASK MARTHA—THE BLACKMAILER,0.9600955247879028
A Dream of Old Salem,0.9643920660018921
The Antique Clock Mystery,0.9211099147796631
ASK MARTHA — THE PERJURER,0.9608204364776611
ASK MARTHA — THE EMBEZZLER,0.960787832736969
The Backyard Slumber Party,0.8806601166725159
The Rock Star Mystery,0.9343379139900208
ASK MARTHA - THE ARSONIST,0.9664140343666077
Fatal Computer Crash,0.9288394451141357
The ROB Club Murder Mystery,0.9534505009651184
ASK MARTHA—THE LITTERER,0.9046393632888794
Drama Queen,0.9506451487541199
The Gourmet Mystery,0.9157215356826782
The Potter Book Mystery,0.9585214853286743
Death in the Office,0.9288339614868164
Chief Inspector Japp Solves a Case,0.9456081390380859
Who Stole the Caveman's Dinner?,0.9593042135238647
The Stolen Car Mystery,0.920986533164978
The Straw Hat Theater Mysteries - Final Curtain,0.9727545380592346
iTheft,0.9356663227081299
The Punch with a Punch,0.9366626143455505
The Straw Hat Theater Mysteries - Box Office Nightmare,0.9429471492767334
The Waffle Man Mystery,0.9285141229629517
The Sunday School Tithe Mystery,0.9419032335281372
The Straw Hat Theater Mysteries - Casting Call,0.9387919306755066
The Anonymous Bank Robber,0.946724534034729
The House of Lies,0.9720714092254639
The Straw Hat Theater Mysteries - On Stage!,0.9577929377555847
Canada Day,0.9188413619995117
The Missing Communion Set,0.9069497585296631
Who Stole Super Bowl Sunday,0.9423249959945679
The Cocktail Conundrum ,0.9575912952423096
The Gypsy's Secret Numbers,0.9464005827903748
It's Gone,0.9097766280174255
The Miser's Hoard,0.9274275302886963
The Cornfield Caper,0.9657981395721436
A Stolen Future,0.9436902403831482
The Dirty Half Dozen,0.962838351726532
A Porsche of Course ,0.9475656151771545
The Mystery of the Missing Story,0.9456712603569031
The Case of the Missing Friend,0.9094209671020508
